id,name,chr,38bp1,38bp2,37bp1,37bp2
"<a id=""PFDN4"" href=""#"" onclick=""resClick(this.id)"">PFDN4</a>",prefoldin subunit 4,20,"","",52824625,52836500
"<a id=""PFDN5"" href=""#"" onclick=""resClick(this.id)"">PFDN5</a>",prefoldin subunit 5,12,"","",53689234,53693235
"<a id=""PFKFB2"" href=""#"" onclick=""resClick(this.id)"">PFKFB2</a>","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",1,"","",207226619,207254369
"<a id=""PFKFB3"" href=""#"" onclick=""resClick(this.id)"">PFKFB3</a>","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",10,"","",6186883,6277495
"<a id=""PFKFB4"" href=""#"" onclick=""resClick(this.id)"">PFKFB4</a>","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4",3,"","",48555116,48598562
"<a id=""PFKL"" href=""#"" onclick=""resClick(this.id)"">PFKL</a>","phosphofructokinase, liver type",21,"","",45719935,45747256
"<a id=""PFKM"" href=""#"" onclick=""resClick(this.id)"">PFKM</a>","phosphofructokinase, muscle",12,"","",48499035,48540187
"<a id=""PFKP"" href=""#"" onclick=""resClick(this.id)"">PFKP</a>","phosphofructokinase, platelet",10,"","",3109739,3178994
"<a id=""PFN1"" href=""#"" onclick=""resClick(this.id)"">PFN1</a>",profilin 1,17,"","",4848944,4852381
"<a id=""PFN2"" href=""#"" onclick=""resClick(this.id)"">PFN2</a>",profilin 2,3,"","",149682691,149688682
"<a id=""PFN3"" href=""#"" onclick=""resClick(this.id)"">PFN3</a>",profilin 3,5,"","",176827109,176827662
"<a id=""PFN4"" href=""#"" onclick=""resClick(this.id)"">PFN4</a>",profilin family member 4,2,"","",24337678,24346204
"<a id=""PGA3"" href=""#"" onclick=""resClick(this.id)"">PGA3</a>","pepsinogen 3, group I (pepsinogen A)",11,"","",60970986,60980570
"<a id=""PGA4"" href=""#"" onclick=""resClick(this.id)"">PGA4</a>","pepsinogen 4, group I (pepsinogen A)",11,"","",60989820,60999167
"<a id=""PGA5"" href=""#"" onclick=""resClick(this.id)"">PGA5</a>","pepsinogen 5, group I (pepsinogen A)",11,"","",61008647,61018915
"<a id=""PGAM1"" href=""#"" onclick=""resClick(this.id)"">PGAM1</a>",phosphoglycerate mutase 1,10,"","",99185947,99193201
"<a id=""PGAM2"" href=""#"" onclick=""resClick(this.id)"">PGAM2</a>",phosphoglycerate mutase 2,7,"","",44102325,44105166
"<a id=""PGAM5"" href=""#"" onclick=""resClick(this.id)"">PGAM5</a>","PGAM family member 5, mitochondrial serine/threonine protein phosphatase",12,"","",133287427,133299318
"<a id=""PGAP1"" href=""#"" onclick=""resClick(this.id)"">PGAP1</a>",post-GPI attachment to proteins 1,2,"","",197697727,197791431
"<a id=""PGAP2"" href=""#"" onclick=""resClick(this.id)"">PGAP2</a>",post-GPI attachment to proteins 2,11,"","",3818953,3847601
"<a id=""PGAP3"" href=""#"" onclick=""resClick(this.id)"">PGAP3</a>",post-GPI attachment to proteins 3,17,"","",37827374,37844323
"<a id=""PGBD1"" href=""#"" onclick=""resClick(this.id)"">PGBD1</a>",piggyBac transposable element derived 1,6,"","",28249313,28270326
"<a id=""PGBD2"" href=""#"" onclick=""resClick(this.id)"">PGBD2</a>",piggyBac transposable element derived 2,1,"","",249200433,249213345
"<a id=""PGBD3"" href=""#"" onclick=""resClick(this.id)"">PGBD3</a>",piggyBac transposable element derived 3,10,"","",50723150,50732327
"<a id=""PGBD4"" href=""#"" onclick=""resClick(this.id)"">PGBD4</a>",piggyBac transposable element derived 4,15,"","",34394283,34400887
"<a id=""PGBD5"" href=""#"" onclick=""resClick(this.id)"">PGBD5</a>",piggyBac transposable element derived 5,1,"","",230450235,230562078
"<a id=""PGC"" href=""#"" onclick=""resClick(this.id)"">PGC</a>",progastricsin,6,"","",41704448,41715135
"<a id=""PGD"" href=""#"" onclick=""resClick(this.id)"">PGD</a>",phosphogluconate dehydrogenase,1,"","",10459120,10480568
"<a id=""PGF"" href=""#"" onclick=""resClick(this.id)"">PGF</a>",placental growth factor,14,"","",75408532,75422467
"<a id=""PGGHG"" href=""#"" onclick=""resClick(this.id)"">PGGHG</a>",protein-glucosylgalactosylhydroxylysine glucosidase,11,"","",289125,296107
"<a id=""PGGT1B"" href=""#"" onclick=""resClick(this.id)"">PGGT1B</a>",protein geranylgeranyltransferase type I subunit beta,5,"","",114539710,114598574
"<a id=""PGK2"" href=""#"" onclick=""resClick(this.id)"">PGK2</a>",phosphoglycerate kinase 2,6,"","",49753372,49754998
"<a id=""PGLS"" href=""#"" onclick=""resClick(this.id)"">PGLS</a>",6-phosphogluconolactonase,19,"","",17622457,17632097
"<a id=""PGLYRP1"" href=""#"" onclick=""resClick(this.id)"">PGLYRP1</a>",peptidoglycan recognition protein 1,19,"","",46522412,46526311
"<a id=""PGLYRP2"" href=""#"" onclick=""resClick(this.id)"">PGLYRP2</a>",peptidoglycan recognition protein 2,19,"","",15579455,15590312
"<a id=""PGLYRP3"" href=""#"" onclick=""resClick(this.id)"">PGLYRP3</a>",peptidoglycan recognition protein 3,1,"","",153270337,153283194
"<a id=""PGLYRP4"" href=""#"" onclick=""resClick(this.id)"">PGLYRP4</a>",peptidoglycan recognition protein 4,1,"","",153302596,153321317
"<a id=""PGM1"" href=""#"" onclick=""resClick(this.id)"">PGM1</a>",phosphoglucomutase 1,1,"","",64059081,64125916
"<a id=""PGM2"" href=""#"" onclick=""resClick(this.id)"">PGM2</a>",phosphoglucomutase 2,4,"","",37828307,37864558
"<a id=""PGM2L1"" href=""#"" onclick=""resClick(this.id)"">PGM2L1</a>",phosphoglucomutase 2 like 1,11,"","",74041360,74109478
"<a id=""PGM3"" href=""#"" onclick=""resClick(this.id)"">PGM3</a>",phosphoglucomutase 3,6,"","",83860451,83902984
"<a id=""PGM5"" href=""#"" onclick=""resClick(this.id)"">PGM5</a>",phosphoglucomutase 5,9,"","",70971526,71145977
"<a id=""PGP"" href=""#"" onclick=""resClick(this.id)"">PGP</a>",phosphoglycolate phosphatase,16,"","",2261596,2264841
"<a id=""PGPEP1"" href=""#"" onclick=""resClick(this.id)"">PGPEP1</a>",pyroglutamyl-peptidase I,19,"","",18451396,18480762
"<a id=""PGPEP1L"" href=""#"" onclick=""resClick(this.id)"">PGPEP1L</a>",pyroglutamyl-peptidase I like,15,"","",99511457,99551021
"<a id=""PGR"" href=""#"" onclick=""resClick(this.id)"">PGR</a>",progesterone receptor,11,"","",100900354,101000544
"<a id=""PGRMC2"" href=""#"" onclick=""resClick(this.id)"">PGRMC2</a>",progesterone receptor membrane component 2,4,"","",129190396,129208968
"<a id=""PGS1"" href=""#"" onclick=""resClick(this.id)"">PGS1</a>",phosphatidylglycerophosphate synthase 1,17,"","",76374698,76420740
"<a id=""PHACTR1"" href=""#"" onclick=""resClick(this.id)"">PHACTR1</a>",phosphatase and actin regulator 1,6,"","",12716998,13290699
"<a id=""PHACTR2"" href=""#"" onclick=""resClick(this.id)"">PHACTR2</a>",phosphatase and actin regulator 2,6,"","",143929316,144152322
"<a id=""PHACTR3"" href=""#"" onclick=""resClick(this.id)"">PHACTR3</a>",phosphatase and actin regulator 3,20,"","",58152563,58422766
"<a id=""PHACTR4"" href=""#"" onclick=""resClick(this.id)"">PHACTR4</a>",phosphatase and actin regulator 4,1,"","",28696250,28826876
"<a id=""PHAX"" href=""#"" onclick=""resClick(this.id)"">PHAX</a>",phosphorylated adaptor for RNA export,5,"","",125936638,125962944
"<a id=""PHB"" href=""#"" onclick=""resClick(this.id)"">PHB</a>",prohibitin,17,"","",47481409,47492267
"<a id=""PHB2"" href=""#"" onclick=""resClick(this.id)"">PHB2</a>",prohibitin 2,12,"","",7074514,7079916
"<a id=""PHC1"" href=""#"" onclick=""resClick(this.id)"">PHC1</a>",polyhomeotic homolog 1,12,"","",9067104,9094060
"<a id=""PHC2"" href=""#"" onclick=""resClick(this.id)"">PHC2</a>",polyhomeotic homolog 2,1,"","",33789223,33841194
"<a id=""PHC3"" href=""#"" onclick=""resClick(this.id)"">PHC3</a>",polyhomeotic homolog 3,3,"","",169805371,169899521
"<a id=""PHETA1"" href=""#"" onclick=""resClick(this.id)"">PHETA1</a>",PH domain containing endocytic trafficking adaptor 1,12,"","",111798454,111806899
"<a id=""PHETA2"" href=""#"" onclick=""resClick(this.id)"">PHETA2</a>",PH domain containing endocytic trafficking adaptor 2,22,"","",42470251,42475442
"<a id=""PHF10"" href=""#"" onclick=""resClick(this.id)"">PHF10</a>",PHD finger protein 10,6,"","",170103997,170124596
"<a id=""PHF11"" href=""#"" onclick=""resClick(this.id)"">PHF11</a>",PHD finger protein 11,13,"","",50069745,50103127
"<a id=""PHF12"" href=""#"" onclick=""resClick(this.id)"">PHF12</a>",PHD finger protein 12,17,"","",27232268,27278536
"<a id=""PHF13"" href=""#"" onclick=""resClick(this.id)"">PHF13</a>",PHD finger protein 13,1,"","",6673790,6684090
"<a id=""PHF14"" href=""#"" onclick=""resClick(this.id)"">PHF14</a>",PHD finger protein 14,7,"","",11013498,11209250
"<a id=""PHF19"" href=""#"" onclick=""resClick(this.id)"">PHF19</a>",PHD finger protein 19,9,"","",123617928,123657174
"<a id=""PHF2"" href=""#"" onclick=""resClick(this.id)"">PHF2</a>",PHD finger protein 2,9,"","",96338865,96441869
"<a id=""PHF20"" href=""#"" onclick=""resClick(this.id)"">PHF20</a>",PHD finger protein 20,20,"","",34359936,34538292
"<a id=""PHF20L1"" href=""#"" onclick=""resClick(this.id)"">PHF20L1</a>",PHD finger protein 20 like 1,8,"","",133787603,133861052
"<a id=""PHF21A"" href=""#"" onclick=""resClick(this.id)"">PHF21A</a>",PHD finger protein 21A,11,"","",45950869,46142985
"<a id=""PHF21B"" href=""#"" onclick=""resClick(this.id)"">PHF21B</a>",PHD finger protein 21B,22,"","",45277042,45405886
"<a id=""PHF23"" href=""#"" onclick=""resClick(this.id)"">PHF23</a>",PHD finger protein 23,17,"","",7138356,7142776
"<a id=""PHF24"" href=""#"" onclick=""resClick(this.id)"">PHF24</a>",PHD finger protein 24,9,"","",34957483,34982541
"<a id=""PHF3"" href=""#"" onclick=""resClick(this.id)"">PHF3</a>",PHD finger protein 3,6,"","",64345706,64425418
"<a id=""PHF5A"" href=""#"" onclick=""resClick(this.id)"">PHF5A</a>",PHD finger protein 5A,22,"","",41855720,41864696
"<a id=""PHF7"" href=""#"" onclick=""resClick(this.id)"">PHF7</a>",PHD finger protein 7,3,"","",52444675,52457657
"<a id=""PHGDH"" href=""#"" onclick=""resClick(this.id)"">PHGDH</a>",phosphoglycerate dehydrogenase,1,"","",120254556,120286838
"<a id=""PHIP"" href=""#"" onclick=""resClick(this.id)"">PHIP</a>",pleckstrin homology domain interacting protein,6,"","",79644135,79787971
"<a id=""PHKB"" href=""#"" onclick=""resClick(this.id)"">PHKB</a>",phosphorylase kinase regulatory subunit beta,16,"","",47495209,47735434
"<a id=""PHKG1"" href=""#"" onclick=""resClick(this.id)"">PHKG1</a>",phosphorylase kinase catalytic subunit gamma 1,7,"","",56147975,56160689
"<a id=""PHKG2"" href=""#"" onclick=""resClick(this.id)"">PHKG2</a>",phosphorylase kinase catalytic subunit gamma 2,16,"","",30759619,30772501
"<a id=""PHLDA1"" href=""#"" onclick=""resClick(this.id)"">PHLDA1</a>",pleckstrin homology like domain family A member 1,12,"","",76419226,76425556
"<a id=""PHLDA2"" href=""#"" onclick=""resClick(this.id)"">PHLDA2</a>",pleckstrin homology like domain family A member 2,11,"","",2949502,2950650
"<a id=""PHLDA3"" href=""#"" onclick=""resClick(this.id)"">PHLDA3</a>",pleckstrin homology like domain family A member 3,1,"","",201433405,201438316
"<a id=""PHLDB1"" href=""#"" onclick=""resClick(this.id)"">PHLDB1</a>",pleckstrin homology like domain family B member 1,11,"","",118477150,118528738
"<a id=""PHLDB2"" href=""#"" onclick=""resClick(this.id)"">PHLDB2</a>",pleckstrin homology like domain family B member 2,3,"","",111451342,111695364
"<a id=""PHLDB3"" href=""#"" onclick=""resClick(this.id)"">PHLDB3</a>",pleckstrin homology like domain family B member 3,19,"","",43979254,44008985
"<a id=""PHLPP1"" href=""#"" onclick=""resClick(this.id)"">PHLPP1</a>",PH domain and leucine rich repeat protein phosphatase 1,18,"","",60382773,60647666
"<a id=""PHLPP2"" href=""#"" onclick=""resClick(this.id)"">PHLPP2</a>",PH domain and leucine rich repeat protein phosphatase 2,16,"","",71678828,71758604
"<a id=""PHOSPHO1"" href=""#"" onclick=""resClick(this.id)"">PHOSPHO1</a>",phosphoethanolamine/phosphocholine phosphatase,17,"","",47300727,47308149
"<a id=""PHOSPHO2"" href=""#"" onclick=""resClick(this.id)"">PHOSPHO2</a>","phosphatase, orphan 2",2,"","",170550963,170558218
"<a id=""PHOSPHO2-KLHL23"" href=""#"" onclick=""resClick(this.id)"">PHOSPHO2-KLHL23</a>",,2,"","",170550978,170608388
"<a id=""PHOX2A"" href=""#"" onclick=""resClick(this.id)"">PHOX2A</a>",paired like homeobox 2A,11,"","",71950120,71955220
"<a id=""PHOX2B"" href=""#"" onclick=""resClick(this.id)"">PHOX2B</a>",paired like homeobox 2B,4,"","",41746098,41750987
"<a id=""PHPT1"" href=""#"" onclick=""resClick(this.id)"">PHPT1</a>",phosphohistidine phosphatase 1,9,"","",139743267,139745495
"<a id=""PHRF1"" href=""#"" onclick=""resClick(this.id)"">PHRF1</a>",PHD and ring finger domains 1,11,"","",576469,612222
"<a id=""PHTF1"" href=""#"" onclick=""resClick(this.id)"">PHTF1</a>",putative homeodomain transcription factor 1,1,"","",114239826,114302510
"<a id=""PHTF2"" href=""#"" onclick=""resClick(this.id)"">PHTF2</a>",putative homeodomain transcription factor 2,7,"","",77428089,77586821
"<a id=""PHYH"" href=""#"" onclick=""resClick(this.id)"">PHYH</a>",phytanoyl-CoA 2-hydroxylase,10,"","",13319795,13342130
"<a id=""PHYHD1"" href=""#"" onclick=""resClick(this.id)"">PHYHD1</a>",phytanoyl-CoA dioxygenase domain containing 1,9,"","",131683260,131704317
"<a id=""PHYHIP"" href=""#"" onclick=""resClick(this.id)"">PHYHIP</a>",phytanoyl-CoA 2-hydroxylase interacting protein,8,"","",22077215,22089865
"<a id=""PHYHIPL"" href=""#"" onclick=""resClick(this.id)"">PHYHIPL</a>",phytanoyl-CoA 2-hydroxylase interacting protein like,10,"","",60936402,61007530
"<a id=""PHYKPL"" href=""#"" onclick=""resClick(this.id)"">PHYKPL</a>",5-phosphohydroxy-L-lysine phospho-lyase,5,"","",177635474,177659823
"<a id=""PI15"" href=""#"" onclick=""resClick(this.id)"">PI15</a>",peptidase inhibitor 15,8,"","",75736768,75767264
"<a id=""PI16"" href=""#"" onclick=""resClick(this.id)"">PI16</a>",peptidase inhibitor 16,6,"","",36916038,36932613
"<a id=""PI3"" href=""#"" onclick=""resClick(this.id)"">PI3</a>",peptidase inhibitor 3,20,"","",43803542,43805185
"<a id=""PI4K2A"" href=""#"" onclick=""resClick(this.id)"">PI4K2A</a>",phosphatidylinositol 4-kinase type 2 alpha,10,"","",99400442,99436189
"<a id=""PI4K2B"" href=""#"" onclick=""resClick(this.id)"">PI4K2B</a>",phosphatidylinositol 4-kinase type 2 beta,4,"","",25235652,25280831
"<a id=""PI4KA"" href=""#"" onclick=""resClick(this.id)"">PI4KA</a>",phosphatidylinositol 4-kinase alpha,22,"","",21061978,21213100
"<a id=""PI4KB"" href=""#"" onclick=""resClick(this.id)"">PI4KB</a>",phosphatidylinositol 4-kinase beta,1,"","",151264272,151300191
"<a id=""PIANP"" href=""#"" onclick=""resClick(this.id)"">PIANP</a>",PILR alpha associated neural protein,12,"","",6802956,6809981
"<a id=""PIAS1"" href=""#"" onclick=""resClick(this.id)"">PIAS1</a>",protein inhibitor of activated STAT 1,15,"","",68346516,68483802
"<a id=""PIAS2"" href=""#"" onclick=""resClick(this.id)"">PIAS2</a>",protein inhibitor of activated STAT 2,18,"","",44383187,44497495
"<a id=""PIAS3"" href=""#"" onclick=""resClick(this.id)"">PIAS3</a>",protein inhibitor of activated STAT 3,1,"","",145575987,145586546
"<a id=""PIAS4"" href=""#"" onclick=""resClick(this.id)"">PIAS4</a>",protein inhibitor of activated STAT 4,19,"","",4007733,4039384
"<a id=""PIBF1"" href=""#"" onclick=""resClick(this.id)"">PIBF1</a>",progesterone immunomodulatory binding factor 1,13,"","",73356160,73590591
"<a id=""PICALM"" href=""#"" onclick=""resClick(this.id)"">PICALM</a>",phosphatidylinositol binding clathrin assembly protein,11,"","",85668218,85780902
"<a id=""PICK1"" href=""#"" onclick=""resClick(this.id)"">PICK1</a>",protein interacting with PRKCA 1,22,"","",38453261,38471708
"<a id=""PID1"" href=""#"" onclick=""resClick(this.id)"">PID1</a>",phosphotyrosine interaction domain containing 1,2,"","",229888688,230136003
"<a id=""PIDD1"" href=""#"" onclick=""resClick(this.id)"">PIDD1</a>",p53-induced death domain protein 1,11,"","",799183,805231
"<a id=""PIEZO2"" href=""#"" onclick=""resClick(this.id)"">PIEZO2</a>",piezo type mechanosensitive ion channel component 2,18,"","",10670243,11148761
"<a id=""PIF1"" href=""#"" onclick=""resClick(this.id)"">PIF1</a>",PIF1 5'-to-3' DNA helicase,15,"","",65107830,65117846
"<a id=""PIFO"" href=""#"" onclick=""resClick(this.id)"">PIFO</a>",primary cilia formation,1,"","",111889181,111895639
"<a id=""PIGB"" href=""#"" onclick=""resClick(this.id)"">PIGB</a>",phosphatidylinositol glycan anchor biosynthesis class B,15,"","",55611419,55647846
"<a id=""PIGC"" href=""#"" onclick=""resClick(this.id)"">PIGC</a>",phosphatidylinositol glycan anchor biosynthesis class C,1,"","",172410596,172413209
"<a id=""PIGF"" href=""#"" onclick=""resClick(this.id)"">PIGF</a>",phosphatidylinositol glycan anchor biosynthesis class F,2,"","",46808075,46844180
"<a id=""PIGG"" href=""#"" onclick=""resClick(this.id)"">PIGG</a>",phosphatidylinositol glycan anchor biosynthesis class G,4,"","",492988,533983
"<a id=""PIGH"" href=""#"" onclick=""resClick(this.id)"">PIGH</a>",phosphatidylinositol glycan anchor biosynthesis class H,14,"","",68056022,68067018
"<a id=""PIGK"" href=""#"" onclick=""resClick(this.id)"">PIGK</a>",phosphatidylinositol glycan anchor biosynthesis class K,1,"","",77554674,77685115
"<a id=""PIGL"" href=""#"" onclick=""resClick(this.id)"">PIGL</a>",phosphatidylinositol glycan anchor biosynthesis class L,17,"","",16120523,16229725
"<a id=""PIGM"" href=""#"" onclick=""resClick(this.id)"">PIGM</a>",phosphatidylinositol glycan anchor biosynthesis class M,1,"","",159994744,160001780
"<a id=""PIGN"" href=""#"" onclick=""resClick(this.id)"">PIGN</a>",phosphatidylinositol glycan anchor biosynthesis class N,18,"","",59708396,59854289
"<a id=""PIGO"" href=""#"" onclick=""resClick(this.id)"">PIGO</a>",phosphatidylinositol glycan anchor biosynthesis class O,9,"","",35088684,35096598
"<a id=""PIGP"" href=""#"" onclick=""resClick(this.id)"">PIGP</a>",phosphatidylinositol glycan anchor biosynthesis class P,21,"","",38437663,38445458
"<a id=""PIGQ"" href=""#"" onclick=""resClick(this.id)"">PIGQ</a>",phosphatidylinositol glycan anchor biosynthesis class Q,16,"","",619967,634138
"<a id=""PIGR"" href=""#"" onclick=""resClick(this.id)"">PIGR</a>",polymeric immunoglobulin receptor,1,"","",207101866,207119811
"<a id=""PIGS"" href=""#"" onclick=""resClick(this.id)"">PIGS</a>",phosphatidylinositol glycan anchor biosynthesis class S,17,"","",26880404,26898542
"<a id=""PIGT"" href=""#"" onclick=""resClick(this.id)"">PIGT</a>",phosphatidylinositol glycan anchor biosynthesis class T,20,"","",44044706,44054885
"<a id=""PIGU"" href=""#"" onclick=""resClick(this.id)"">PIGU</a>",phosphatidylinositol glycan anchor biosynthesis class U,20,"","",33148345,33265089
"<a id=""PIGV"" href=""#"" onclick=""resClick(this.id)"">PIGV</a>",phosphatidylinositol glycan anchor biosynthesis class V,1,"","",27114453,27124894
"<a id=""PIGW"" href=""#"" onclick=""resClick(this.id)"">PIGW</a>",phosphatidylinositol glycan anchor biosynthesis class W,17,"","",34890588,34895152
"<a id=""PIGX"" href=""#"" onclick=""resClick(this.id)"">PIGX</a>",phosphatidylinositol glycan anchor biosynthesis class X,3,"","",196439247,196462876
"<a id=""PIGY"" href=""#"" onclick=""resClick(this.id)"">PIGY</a>",phosphatidylinositol glycan anchor biosynthesis class Y,4,"","",89442128,89444952
"<a id=""PIGZ"" href=""#"" onclick=""resClick(this.id)"">PIGZ</a>",phosphatidylinositol glycan anchor biosynthesis class Z,3,"","",196673226,196695704
"<a id=""PIH1D1"" href=""#"" onclick=""resClick(this.id)"">PIH1D1</a>",PIH1 domain containing 1,19,"","",49949554,49955071
"<a id=""PIH1D2"" href=""#"" onclick=""resClick(this.id)"">PIH1D2</a>",PIH1 domain containing 2,11,"","",111934733,111944895
"<a id=""PIK3AP1"" href=""#"" onclick=""resClick(this.id)"">PIK3AP1</a>",phosphoinositide-3-kinase adaptor protein 1,10,"","",98353071,98480271
"<a id=""PIK3C2A"" href=""#"" onclick=""resClick(this.id)"">PIK3C2A</a>",phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,11,"","",17108123,17229533
"<a id=""PIK3C2B"" href=""#"" onclick=""resClick(this.id)"">PIK3C2B</a>",phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta,1,"","",204391757,204459474
"<a id=""PIK3C2G"" href=""#"" onclick=""resClick(this.id)"">PIK3C2G</a>",phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma,12,"","",18414473,18801352
"<a id=""PIK3C3"" href=""#"" onclick=""resClick(this.id)"">PIK3C3</a>",phosphatidylinositol 3-kinase catalytic subunit type 3,18,"","",39535198,39667793
"<a id=""PIK3CA"" href=""#"" onclick=""resClick(this.id)"">PIK3CA</a>","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",3,"","",178866144,178957881
"<a id=""PIK3CB"" href=""#"" onclick=""resClick(this.id)"">PIK3CB</a>","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",3,"","",138371539,138478201
"<a id=""PIK3CD"" href=""#"" onclick=""resClick(this.id)"">PIK3CD</a>","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",1,"","",9711788,9789172
"<a id=""PIK3CD-AS1"" href=""#"" onclick=""resClick(this.id)"">PIK3CD-AS1</a>",PIK3CD antisense RNA 1,1,"","",9712667,9714644
"<a id=""PIK3CG"" href=""#"" onclick=""resClick(this.id)"">PIK3CG</a>","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",7,"","",106505726,106549425
"<a id=""PIK3IP1"" href=""#"" onclick=""resClick(this.id)"">PIK3IP1</a>",phosphoinositide-3-kinase interacting protein 1,22,"","",31677578,31688520
"<a id=""PIK3R1"" href=""#"" onclick=""resClick(this.id)"">PIK3R1</a>",phosphoinositide-3-kinase regulatory subunit 1,5,"","",67511583,67597649
"<a id=""PIK3R2"" href=""#"" onclick=""resClick(this.id)"">PIK3R2</a>",phosphoinositide-3-kinase regulatory subunit 2,19,"","",18263972,18281342
"<a id=""PIK3R3"" href=""#"" onclick=""resClick(this.id)"">PIK3R3</a>",phosphoinositide-3-kinase regulatory subunit 3,1,"","",46505811,46640573
"<a id=""PIK3R4"" href=""#"" onclick=""resClick(this.id)"">PIK3R4</a>",phosphoinositide-3-kinase regulatory subunit 4,3,"","",130397777,130465673
"<a id=""PIK3R5"" href=""#"" onclick=""resClick(this.id)"">PIK3R5</a>",phosphoinositide-3-kinase regulatory subunit 5,17,"","",8782232,8869029
"<a id=""PIK3R6"" href=""#"" onclick=""resClick(this.id)"">PIK3R6</a>",phosphoinositide-3-kinase regulatory subunit 6,17,"","",8706040,8770994
"<a id=""PIKFYVE"" href=""#"" onclick=""resClick(this.id)"">PIKFYVE</a>","phosphoinositide kinase, FYVE-type zinc finger containing",2,"","",209130978,209223470
"<a id=""PILRA"" href=""#"" onclick=""resClick(this.id)"">PILRA</a>",paired immunoglobin like type 2 receptor alpha,7,"","",99971109,99997716
"<a id=""PILRB"" href=""#"" onclick=""resClick(this.id)"">PILRB</a>",paired immunoglobin like type 2 receptor beta,7,"","",99955625,99965454
"<a id=""PIM1"" href=""#"" onclick=""resClick(this.id)"">PIM1</a>","Pim-1 proto-oncogene, serine/threonine kinase",6,"","",37137927,37143204
"<a id=""PIM3"" href=""#"" onclick=""resClick(this.id)"">PIM3</a>","Pim-3 proto-oncogene, serine/threonine kinase",22,"","",50354419,50357720
"<a id=""PIMREG"" href=""#"" onclick=""resClick(this.id)"">PIMREG</a>",PICALM interacting mitotic regulator,17,"","",6347774,6354789
"<a id=""PIN1"" href=""#"" onclick=""resClick(this.id)"">PIN1</a>","peptidylprolyl cis/trans isomerase, NIMA-interacting 1",19,"","",9945882,9960365
"<a id=""PINK1"" href=""#"" onclick=""resClick(this.id)"">PINK1</a>",PTEN induced kinase 1,1,"","",20959950,20978004
"<a id=""PINX1"" href=""#"" onclick=""resClick(this.id)"">PINX1</a>",PIN2 (TERF1) interacting telomerase inhibitor 1,8,"","",10622470,10697409
"<a id=""PIP"" href=""#"" onclick=""resClick(this.id)"">PIP</a>",prolactin induced protein,7,"","",142829169,142836832
"<a id=""PIP4K2A"" href=""#"" onclick=""resClick(this.id)"">PIP4K2A</a>",phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,10,"","",22823782,23003507
"<a id=""PIP4K2B"" href=""#"" onclick=""resClick(this.id)"">PIP4K2B</a>",phosphatidylinositol-5-phosphate 4-kinase type 2 beta,17,"","",36921943,36956158
"<a id=""PIP4K2C"" href=""#"" onclick=""resClick(this.id)"">PIP4K2C</a>",phosphatidylinositol-5-phosphate 4-kinase type 2 gamma,12,"","",57984974,57997200
"<a id=""PIP4P1"" href=""#"" onclick=""resClick(this.id)"">PIP4P1</a>","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1",14,"","",20926011,20929771
"<a id=""PIP4P2"" href=""#"" onclick=""resClick(this.id)"">PIP4P2</a>","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2",8,"","",92006030,92053087
"<a id=""PIP5K1A"" href=""#"" onclick=""resClick(this.id)"">PIP5K1A</a>",phosphatidylinositol-4-phosphate 5-kinase type 1 alpha,1,"","",151171027,151222007
"<a id=""PIP5K1B"" href=""#"" onclick=""resClick(this.id)"">PIP5K1B</a>",phosphatidylinositol-4-phosphate 5-kinase type 1 beta,9,"","",71320155,71624092
"<a id=""PIP5K1C"" href=""#"" onclick=""resClick(this.id)"">PIP5K1C</a>",phosphatidylinositol-4-phosphate 5-kinase type 1 gamma,19,"","",3630180,3700466
"<a id=""PIP5KL1"" href=""#"" onclick=""resClick(this.id)"">PIP5KL1</a>",phosphatidylinositol-4-phosphate 5-kinase like 1,9,"","",130683159,130693056
"<a id=""PIPOX"" href=""#"" onclick=""resClick(this.id)"">PIPOX</a>",pipecolic acid and sarcosine oxidase,17,"","",27370158,27384234
"<a id=""PIRT"" href=""#"" onclick=""resClick(this.id)"">PIRT</a>",phosphoinositide interacting regulator of transient receptor potential channels,17,"","",10725786,10741404
"<a id=""PISD"" href=""#"" onclick=""resClick(this.id)"">PISD</a>",phosphatidylserine decarboxylase,22,"","",32014478,32058550
"<a id=""PITHD1"" href=""#"" onclick=""resClick(this.id)"">PITHD1</a>",PITH domain containing 1,1,"","",24104907,24114722
"<a id=""PITPNA"" href=""#"" onclick=""resClick(this.id)"">PITPNA</a>",phosphatidylinositol transfer protein alpha,17,"","",1421011,1466086
"<a id=""PITPNB"" href=""#"" onclick=""resClick(this.id)"">PITPNB</a>",phosphatidylinositol transfer protein beta,22,"","",28247656,28315294
